"question","answer"
"What is artificial intelligence?","Artificial Intelligence (AI) is the simulation of human intelligence processes by machines to perform tasks that typically require human intelligence."
"How does machine learning work?","Machine learning uses algorithms and statistical models to enable computers to improve their performance on tasks through experience without being explicitly programmed."
"What is deep learning?","Deep learning is a subset of machine learning using neural networks with multiple layers to progressively extract higher-level features from data."
"What is natural language processing?","NLP is a branch of AI that helps computers understand and generate human language for applications like translation and chatbots."
"What is computer vision?","Computer vision is a field of AI that trains computers to interpret and understand visual information from the world like images and videos."
"What is neural network?","A neural network is a computing system inspired by biological neural networks designed to recognize patterns and learn from data."
"What is reinforcement learning?","Reinforcement learning is a machine learning approach where agents learn to make decisions by receiving rewards or penalties for their actions."
"What is supervised learning?","Supervised learning trains models on labeled data where the correct output is known allowing the model to learn the mapping between inputs and outputs."
"What is unsupervised learning?","Unsupervised learning finds patterns in data without labeled outputs using techniques like clustering and dimensionality reduction."
"What is transfer learning?","Transfer learning reuses a pre-trained model on a new problem allowing faster training and better performance with less data."
"What is Python?","Python is a high-level interpreted programming language known for its simplicity and readability widely used in web development and data science."
"What is JavaScript?","JavaScript is a programming language that enables interactive web pages and is an essential part of web applications alongside HTML and CSS."
"What is Java?","Java is an object-oriented programming language designed to run on any platform through the Java Virtual Machine providing platform independence."
"What is C++?","C++ is a powerful general-purpose programming language that supports object-oriented programming and is used for system software and game development."
"What is C#?","C# is a modern object-oriented programming language developed by Microsoft for building Windows applications and games using .NET framework."
"What is Ruby?","Ruby is a dynamic interpreted programming language focused on simplicity and productivity with an elegant syntax that is natural to read."
"What is PHP?","PHP is a server-side scripting language designed for web development to create dynamic web pages and applications."
"What is Swift?","Swift is a powerful programming language developed by Apple for building iOS macOS and other Apple platform applications."
"What is Kotlin?","Kotlin is a modern programming language that runs on the JVM and is officially supported for Android app development by Google."
"What is Go?","Go is an open-source programming language developed by Google designed for building simple reliable and efficient software with built-in concurrency."
"What is Rust?","Rust is a systems programming language focused on safety and performance preventing memory errors and providing zero-cost abstractions."
"What is TypeScript?","TypeScript is a programming language that adds static typing to JavaScript helping developers catch errors early and write more maintainable code."
"What is SQL?","SQL (Structured Query Language) is a programming language used to manage and manipulate relational databases and retrieve data."
"What is R programming?","R is a programming language and environment for statistical computing and graphics widely used for data analysis and visualization."
"What is MATLAB?","MATLAB is a programming platform for engineers and scientists to analyze data develop algorithms and create models for technical computing."
"What is Scala?","Scala is a programming language that combines object-oriented and functional programming running on the JVM for scalable applications."
"What is Perl?","Perl is a high-level interpreted programming language known for text processing and system administration tasks with powerful regex support."
"What is Dart?","Dart is a programming language optimized for building user interfaces especially for Flutter framework to create cross-platform mobile apps."
"What is Lua?","Lua is a lightweight scripting language designed for embedded systems and game development known for its speed and small footprint."
"What is Haskell?","Haskell is a purely functional programming language emphasizing immutability and mathematical correctness for reliable software development."
"What is HTML?","HTML (Hypertext Markup Language) is the standard markup language for creating web pages defining structure and content."
"What is CSS?","CSS (Cascading Style Sheets) is a stylesheet language used to describe the presentation and styling of HTML documents."
"What is responsive design?","Responsive design ensures websites adapt and display properly across different devices and screen sizes for optimal viewing experience."
"What is frontend development?","Frontend development creates the user interface and experience of websites using HTML CSS and JavaScript that users interact with directly."
"What is backend development?","Backend development handles server-side logic databases and application functionality that powers websites behind the scenes."
"What is full-stack development?","Full-stack development involves working on both frontend and backend aspects of web applications requiring knowledge of multiple technologies."
"What is React?","React is a JavaScript library for building user interfaces especially single-page applications through reusable components."
